Time,Source,Item,Raw Count,Final Count,Whitelisted,Dead,Redundant,Toplist Count,Toplist Domains,Query Count,Saved
05:12:49 20-03-24,Google Search,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alter...",0,0,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alter...",0,0,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,"With over 15 years of experience in the moving industry, we have the expertise and kyeswledge to hand...",0,0,0,0,0,0,,0,no
05:12:49 20-03-24,Google Search,"With over 15 years of experience in the moving industry, we have the expertise and kyeswledge to hand...",0,0,0,0,0,0,,0,no
13:46:34 20-03-24,aa419.org,aa419.org,0,0,0,0,0,0,,0,yes
13:46:34 20-03-24,aa419.org,aa419.org,0,0,0,0,0,0,,0,yes
13:46:34 20-03-24,guntab.com,guntab.com,1763,0,2,0,0,0,,0,yes
13:46:34 20-03-24,petscams.com,petscams.com,714,0,0,0,2,0,,0,yes
13:46:34 20-03-24,scam.directory,scam.directory,1253,0,3,0,0,0,,0,yes
13:46:34 20-03-24,stopgunscams.com,stopgunscams.com,75,1,0,0,0,0,,0,yes
14:02:19 20-03-24,aa419.org,aa419.org,4257,4,16,0,0,0,,0,yes
14:02:19 20-03-24,scamadviser.com,scamadviser.com,0,0,0,0,0,0,,0,yes
14:25:28 20-03-24,aa419.org,aa419.org,4257,0,16,0,0,0,,0,yes
14:25:28 20-03-24,scamadviser.com,scamadviser.com,0,0,0,0,0,0,,0,yes
14:25:28 20-03-24,scam.delivery,scam.delivery,0,0,0,0,0,0,,0,yes
14:37:36 20-03-24,scamadviser.com,scamadviser.com,151,147,3,0,0,18,azzlee.com booking.com canadianvisa.org easy-earn.homes febspot.com infocialisguides.com lostmypass.com maxxfour.com moonwalkbaby.com ouku.com ourelitehealth.com porteduc.ml premiosffonline.com rateglo.com rtsgold.com tatadress.com virtuemap.com wifispc.com,0,no
