Timestamp,Source,Item,Raw Count,Final Count,Whitelisted,Dead,Parked,Toplist,Queries,Status
16:29:30 12-04-24,petscams.com,,197,0,0,14,4,0,,saved
16:29:30 12-04-24,Regex,,204,195,9,0,0,0,,saved
16:29:30 12-04-24,scam.directory,,100,1,0,18,3,0,,saved
16:29:30 12-04-24,scamadviser.com,,70,3,3,15,5,0,,saved
16:29:30 12-04-24,stopgunscams.com,,75,0,0,8,0,0,,saved
16:29:30 12-04-24,Google Search,"committed to the progress of sustainability within our business practices. With consistent evaluatio...",100,1,0,1,0,0,10,saved
16:29:30 12-04-24,Google Search,"we got you covered with highly professional suppliers and production houses that we keep in close co...",93,2,0,0,0,0,10,saved
16:29:30 12-04-24,Google Search,"No matter where you are, who you are and what you are passionate about we want to be able to provide...",100,1,0,0,0,0,10,saved
16:29:30 12-04-24,Google Search,"We have spent years searching for creative, smart, and useful products around the world and bring th...",99,1,0,1,0,0,10,saved
16:29:30 12-04-24,Google Search,"If you ever have problems with your order, we'll do everything we can to make it right. We aim to tr...",91,4,0,0,0,0,10,saved
16:29:30 12-04-24,Google Search,"Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...",45,0,0,0,0,0,5,saved
16:29:30 12-04-24,Google Search,"Your satisfaction is our service purpose, if you have any question or need help, please feel free to...",41,0,0,0,0,0,10,saved
16:29:30 12-04-24,Google Search,"Gone are those days you need to be an expert with years of experience, have millions of Pounds or st...",47,0,0,2,1,0,5,saved
16:29:30 12-04-24,Google Search,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alter...",72,1,6,0,0,0,10,saved
16:29:30 12-04-24,Google Search,"is the global leading online retailer for tops, bottoms and dresses. Our dedicated fashion buyers, w...",61,0,0,0,0,0,7,saved
16:29:30 12-04-24,Google Search,"The shipment of your product is our highest priority and everyday we dispatch hundreds of products t...",100,3,0,0,0,0,10,saved
16:29:30 12-04-24,Google Search,"We love cannabis for its wonderful properties which is exactly why we offer the services that we do....",39,0,1,2,1,0,5,saved
16:29:30 12-04-24,Google Search,"your number one source for all things cosmetic and personal care product....",37,1,0,1,0,0,10,saved
16:29:30 12-04-24,Google Search,"In this fast-paced world, we all enjoy comfort and convenience in almost everything. We love being c...",97,3,0,0,2,0,10,saved
16:29:30 12-04-24,Google Search,"Your Gateway to Diverse Investments! Discover a world of investment opportunities tailored to meet y...",12,0,0,0,0,0,2,saved
05:26:10 13-04-24,Manual,,9,9,0,0,0,0,,saved
05:34:55 13-04-24,Manual,,4,3,0,0,0,1,,saved
05:52:22 13-04-24,Manual,,1,1,0,0,0,0,,saved
06:01:46 13-04-24,Manual,,6,5,0,0,0,1,,saved
06:04:27 13-04-24,Manual,,6,1,0,0,0,0,,saved
10:03:36 13-04-24,aa419.org,,250,4,0,4,10,0,,saved
10:03:36 13-04-24,dnstwist,,98,98,0,0,0,0,,saved
10:03:36 13-04-24,guntab.com,,1811,170,0,138,56,0,,saved
10:03:36 13-04-24,petscams.com,,197,9,0,6,3,0,,saved
10:03:36 13-04-24,Regex,,395,394,1,0,0,0,,saved
10:03:36 13-04-24,scam.directory,,100,8,0,10,3,0,,saved
10:03:36 13-04-24,scamadviser.com,,70,8,3,8,5,0,,saved
10:03:36 13-04-24,stopgunscams.com,,75,3,0,0,0,0,,saved
10:03:36 13-04-24,Google Search,"committed to the progress of sustainability within our business practices. With consistent evaluatio...",100,0,0,1,0,0,10,saved
10:03:36 13-04-24,Google Search,"we got you covered with highly professional suppliers and production houses that we keep in close co...",98,0,0,1,0,0,10,saved
10:03:36 13-04-24,Google Search,"No matter where you are, who you are and what you are passionate about we want to be able to provide...",100,1,0,0,0,0,10,saved
10:03:36 13-04-24,Google Search,"We have spent years searching for creative, smart, and useful products around the world and bring th...",100,1,0,1,0,0,10,saved
